gene_id	description
LOC100576974	uncharacterized LOC100576974
LOC100576975	zinc finger protein 567
LOC100576976	putative leucine-rich repeat-containing protein DDB_G0290503
LOC100576978	dystroglycan-like
LOC100576982	uncharacterized LOC100576982
LOC100576983	uncharacterized LOC100576983
LOC100576984	odorant receptor 4-like
LOC100576985	uncharacterized LOC100576985
LOC100576986	uncharacterized LOC100576986
LOC100576987	uncharacterized LOC100576987
LOC100576989	putative uncharacterized protein DDB_G0282133
LOC100576990	condensin complex subunit 2-like
LOC100576992	odorant receptor Or2-like
LOC100576993	zinc finger protein 1
LOC100576994	uncharacterized LOC100576994
LOC100576996	uncharacterized LOC100576996
LOC100577000	eukaryotic translation elongation factor 1 epsilon-1
LOC100577002	multiple inositol polyphosphate phosphatase 1-like
LOC100577003	uncharacterized LOC100577003
LOC100577004	probable G-protein coupled receptor CG31760
LOC100577013	uncharacterized LOC100577013
LOC100577014	uncharacterized LOC100577014
LOC100577015	uncharacterized LOC100577015
LOC100577017	uncharacterized LOC100577017
LOC100577018	uncharacterized LOC100577018
LOC100577019	protein quiver
LOC100577020	uncharacterized LOC100577020
LOC100577021	E3 ubiquitin-protein ligase AMFR pseudogene
LOC100577022	ATP-dependent RNA helicase DHX36-like
LOC100577023	tyrosine-protein phosphatase 69D-like
LOC100577024	odorant receptor 30a-like
LOC100577026	mitochondrial amidoxime-reducing component 1-like
LOC100577027	DNA repair protein XRCC1
LOC100577028	uncharacterized LOC100577028
LOC100577030	pyroglutamylated RFamide peptide receptor-like
LOC100577032	uncharacterized LOC100577032
LOC100577033	zinc finger protein 33B
LOC100577035	uncharacterized LOC100577035
LOC100577039	arginine/serine-rich coiled-coil protein 2-like
LOC100577041	micronuclear linker histone polyprotein-like
LOC100577042	uncharacterized LOC100577042
LOC100577043	uncharacterized LOC100577043
LOC100577044	histone-lysine N-methyltransferase SETMAR-like
LOC100577045	uncharacterized LOC100577045
LOC100577046	uncharacterized LOC100577046
LOC100577047	uncharacterized LOC100577047
LOC100577050	GDP-fucose protein O-fucosyltransferase 2-like
LOC100577053	"glycine dehydrogenase (decarboxylating), mitochondrial"
LOC100577054	uncharacterized LOC100577054
LOC100577057	thrombospondin-1-like
LOC100577060	ankyrin repeat domain-containing protein 40-like
LOC100577062	odorant receptor 4-like
LOC100577063	uncharacterized LOC100577063
LOC100577064	uncharacterized LOC100577064
LOC100577065	uncharacterized LOC100577065
LOC100577068	odorant receptor 4-like
LOC100577069	hairy/enhancer-of-split related with YRPW motif protein
LOC100577071	uncharacterized LOC100577071
LOC100577073	pigment-dispersing hormone peptides
LOC100577074	uncharacterized LOC100577074
LOC100577076	uncharacterized LOC100577076
LOC100577080	uncharacterized LOC100577080
LOC100577081	"dihydroorotate dehydrogenase (quinone), mitochondrial"
LOC100577082	uncharacterized LOC100577082
LOC100577088	uncharacterized LOC100577088
LOC100577091	uncharacterized LOC100577091
LOC100577092	uncharacterized LOC100577092
LOC100577094	protein saal1
LOC100577095	replication factor C subunit 4
LOC100577098	enolase-phosphatase E1
LOC100577099	protein amnionless-like
LOC100577101	odorant receptor 4-like
LOC100577102	putative uncharacterized protein DDB_G0282133
LOC100577103	uncharacterized LOC100577103
LOC100577106	uncharacterized LOC100577106
LOC100577107	uncharacterized LOC100577107
LOC100577109	uncharacterized LOC100577109
LOC100577110	uncharacterized LOC100577110
LOC100577112	astakine-like
LOC100577113	uncharacterized LOC100577113
LOC100577118	trace amine-associated receptor 9
LOC100577120	dual specificity protein kinase TTK
LOC100577121	uncharacterized LOC100577121
LOC100577122	cellular tumor antigen p53
LOC100577125	uncharacterized LOC100577125
LOC100577127	"proline-, glutamic acid- and leucine-rich protein 1-like"
LOC100577128	uncharacterized LOC100577128
LOC100577132	uncharacterized LOC100577132
LOC100577135	protein amnionless-like
LOC100577136	diphthine methyltransferase
LOC100577138	"dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11-like"
LOC100577139	AF4/FMR2 family member 4
LOC100577140	UDP-glucuronosyltransferase 2B19-like
LOC100577141	uncharacterized LOC100577141
LOC100577142	uncharacterized LOC100577142
LOC100577143	uncharacterized LOC100577143
LOC100577144	uncharacterized LOC100577144
LOC100577145	"sulfide:quinone oxidoreductase, mitochondrial"
LOC100577146	uncharacterized LOC100577146
LOC100577147	uncharacterized LOC100577147
LOC100577149	15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like
LOC100577150	uncharacterized LOC100577150
LOC100577151	uncharacterized LOC100577151
LOC100577155	uncharacterized LOC100577155
LOC100577156	chitinase-3-like protein 1
LOC100577159	protein PFC0760c-like
LOC100577161	uncharacterized LOC100577161
LOC100577162	uncharacterized LOC100577162
LOC100577163	insulin-like growth factor-binding protein complex acid labile subunit
LOC100577164	uncharacterized LOC100577164
LOC100577165	uncharacterized LOC100577165
LOC100577168	uncharacterized LOC100577168
LOC100577170	threonylcarbamoyladenosine tRNA methylthiotransferase MtaB-like
LOC100577174	ras-responsive element-binding protein 1-like
LOC100577178	uncharacterized LOC100577178
LOC100577180	uncharacterized LOC100577180
LOC100577183	uncharacterized LOC100577183
LOC100577185	uncharacterized LOC100577185
LOC100577186	uncharacterized LOC100577186
LOC100577187	protein HIRA-like
LOC100577188	uncharacterized LOC100577188
LOC100577192	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2
LOC100577194	SET and MYND domain-containing protein 4-like
LOC100577196	alpha-protein kinase 1
LOC100577197	uncharacterized LOC100577197
LOC100577198	uncharacterized LOC100577198
LOC100577201	uncharacterized LOC100577201
LOC100577202	uncharacterized LOC100577202
LOC100577209	SRR1-like protein
LOC100577211	uncharacterized LOC100577211
LOC100577213	tumor necrosis factor receptor superfamily member 4-like
LOC100577214	protein giant-lens
LOC100577215	uncharacterized LOC100577215
LOC100577216	uncharacterized LOC100577216
LOC100577220	regulatory protein MIG1-like
LOC100577221	uncharacterized LOC100577221
LOC100577222	uncharacterized LOC100577222
LOC100577224	protein PF14_0175-like
LOC100577226	odorant receptor 4-like
LOC100577227	uncharacterized LOC100577227
LOC100577228	uncharacterized LOC100577228
LOC100577229	cuticular protein 8
LOC100577231	uncharacterized LOC100577231
LOC100577235	SET and MYND domain-containing protein 4-like
LOC100577237	uncharacterized LOC100577237
LOC100577239	uncharacterized LOC100577239
LOC100577242	sterile alpha and TIR motif-containing protein 1
LOC100577248	pre-mRNA cleavage complex 2 protein Pcf11-like
LOC100577249	peroxidase-like
LOC100577250	zinc finger protein 729
LOC100577252	transmembrane protein 145-like
LOC100577253	GRIP and coiled-coil domain-containing protein PFC0235w
LOC100577254	potassium voltage-gated channel subfamily KQT member 1-like
LOC100577255	uncharacterized LOC100577255
LOC100577257	uncharacterized LOC100577257
LOC100577259	uncharacterized LOC100577259
LOC100577260	uncharacterized LOC100577260
LOC100577261	uncharacterized LOC100577261
LOC100577262	uncharacterized LOC100577262
LOC100577263	RING finger protein 113A-like
LOC100577264	uncharacterized LOC100577264
LOC100577265	uncharacterized LOC100577265
LOC100577266	uncharacterized LOC100577266
LOC100577268	uncharacterized LOC100577268
LOC100577269	uncharacterized protein CG13380
LOC100577272	uncharacterized LOC100577272
LOC100577273	uncharacterized LOC100577273
LOC100577275	uncharacterized LOC100577275
LOC100577278	uncharacterized LOC100577278
LOC100577279	uncharacterized LOC100577279
LOC100577280	uncharacterized LOC100577280
LOC100577283	uncharacterized LOC100577283
LOC100577285	tail-anchored protein insertion receptor WRB-like
LOC100577286	uncharacterized LOC100577286
LOC100577288	nudC domain-containing protein 1
LOC100577291	uncharacterized LOC100577291
LOC100577293	uncharacterized LOC100577293
LOC100577295	zinc finger protein 184-like
LOC100577296	checkpoint protein HUS1
LOC100577298	"branched-chain-amino-acid aminotransferase, cytosolic-like"
LOC100577300	surfeit locus protein 6 homolog
LOC100577302	unconventional prefoldin RPB5 interactor
LOC100577303	uncharacterized LOC100577303
LOC100577306	uncharacterized LOC100577306
LOC100577307	uncharacterized LOC100577307
LOC100577308	dystrotelin-like
LOC100577313	uncharacterized LOC100577313
LOC100577317	uncharacterized LOC100577317
LOC100577320	uncharacterized LOC100577320
LOC100577322	cell wall integrity and stress response component 2
LOC100577324	probable cyclin-dependent serine/threonine-protein kinase DDB_G0292550
LOC100577325	uncharacterized LOC100577325
LOC100577327	uncharacterized LOC100577327
LOC100577328	O-glucosyltransferase rumi homolog
LOC100577330	histone-lysine N-methyltransferase NSD2-like
LOC100577331	cell wall integrity and stress response component 1-like
LOC100577332	GATA-binding factor C-like
LOC100577334	odorant receptor 33
LOC100577335	protein rolling stone-like
LOC100577336	uncharacterized LOC100577336
LOC100577341	uncharacterized LOC100577341
LOC100577342	uncharacterized LOC100577342
LOC100577343	uncharacterized LOC100577343
LOC100577344	gametocyte-specific factor 1-like
LOC100577345	odorant receptor 63a-like
LOC100577346	sodium channel protein Nach-like
LOC100577347	SET and MYND domain-containing protein 4-like
LOC100577348	uncharacterized LOC100577348
LOC100577351	uncharacterized LOC100577351
LOC100577358	"dynein assembly factor 3, axonemal"
LOC100577359	uncharacterized LOC100577359
LOC100577360	uncharacterized LOC100577360
LOC100577362	uncharacterized LOC100577362
LOC100577363	uncharacterized LOC100577363
LOC100577364	"FERM, RhoGEF and pleckstrin domain-containing protein 1-like"
LOC100577365	homeobox protein invected-like
LOC100577367	uncharacterized LOC100577367
LOC100577369	HEAT repeat-containing protein 6
LOC100577373	uncharacterized LOC100577373
LOC100577376	voltage-dependent calcium channel subunit alpha-2/delta-3-like
LOC100577377	uncharacterized LOC100577377
LOC100577378	galactokinase-like
LOC100577380	protein takeout-like
LOC100577381	uncharacterized LOC100577381
LOC100577382	targeting protein for Xklp2 homolog
LOC100577384	uncharacterized LOC100577384
LOC100577385	facilitated trehalose transporter Tret1-like
LOC100577386	ankyrin repeat and LEM domain-containing protein 2
LOC100577387	uncharacterized LOC100577387
LOC100577391	leucine-responsive regulatory protein-like
LOC100577393	epidermal growth factor receptor-like
LOC100577394	uncharacterized LOC100577394
LOC100577396	uncharacterized LOC100577396
LOC100577397	DNA ligase 1-like
LOC100577398	uncharacterized LOC100577398
LOC100577399	uncharacterized LOC100577399
LOC100577401	putative uncharacterized protein DDB_G0282133
LOC100577406	uncharacterized LOC100577406
LOC100577407	uncharacterized LOC100577407
LOC100577408	leukocyte elastase inhibitor-like
LOC100577409	solute carrier organic anion transporter family member 3A1
LOC100577410	uncharacterized LOC100577410
LOC100577411	uncharacterized LOC100577411
LOC100577415	IQ and ubiquitin-like domain-containing protein
LOC100577416	peptide chain release factor 2-like
LOC100577417	LIM domain kinase 1-like
LOC100577418	uncharacterized LOC100577418
LOC100577422	uncharacterized LOC100577422
LOC100577423	methyltransferase-like protein 4
LOC100577425	uncharacterized LOC100577425
LOC100577427	homoserine O-succinyltransferase-like
LOC100577428	uncharacterized LOC100577428
LOC100577430	uncharacterized LOC100577430
LOC100577431	uncharacterized LOC100577431
LOC100577436	sperm flagellar protein 2-like
LOC100577437	uncharacterized LOC100577437
LOC100577440	uncharacterized LOC100577440
LOC100577441	uncharacterized LOC100577441
LOC100577444	uncharacterized LOC100577444
LOC100577449	PMS1 protein homolog 1-like
LOC100577450	uncharacterized LOC100577450
LOC100577451	glycolipid transfer protein
LOC100577452	protein brambleberry-like
LOC100577453	calponin homology domain-containing protein DDB_G0272472-like
LOC100577454	coiled-coil domain-containing protein 91-like
LOC100577455	golgin subfamily A member 6-like protein 22
LOC100577456	fibrillin-2-like
LOC100577464	uncharacterized LOC100577464
LOC100577466	uncharacterized LOC100577466
LOC100577468	uncharacterized LOC100577468
LOC100577472	insulin gene enhancer protein ISL-1
LOC100577473	uncharacterized LOC100577473
LOC100577474	uncharacterized LOC100577474
LOC100577476	uncharacterized LOC100577476
LOC100577481	putative protein arginine N-methyltransferase 9
LOC100577486	uncharacterized LOC100577486
LOC100577487	uncharacterized LOC100577487
LOC100577488	uncharacterized LOC100577488
LOC100577489	uncharacterized LOC100577489
LOC100577491	survival motor neuron protein
LOC100577492	uncharacterized LOC100577492
LOC100577493	transmembrane and TPR repeat-containing protein 4-like
LOC100577496	glutamate receptor 3-like
LOC100577497	calponin homology domain-containing protein DDB_G0272472
LOC100577498	trichohyalin
LOC100577499	interaptin-like
LOC100577501	nuclear pore membrane glycoprotein 210
LOC100577504	uncharacterized LOC100577504
LOC100577506	uncharacterized LOC100577506
LOC100577507	uncharacterized LOC100577507
LOC100577510	uncharacterized LOC100577510
LOC100577513	uncharacterized LOC100577513
LOC100577515	uncharacterized LOC100577515
LOC100577516	venom acid phosphatase Acph-1-like
LOC100577517	uncharacterized LOC100577517
LOC100577519	"alpha-(1,3)-fucosyltransferase 10"
LOC100577520	uncharacterized protein C19orf47 homolog
LOC100577521	uncharacterized LOC100577521
LOC100577522	uncharacterized LOC100577522
LOC100577524	autophagy-related protein 16-1-like
LOC100577525	synergin gamma-like
LOC100577527	uncharacterized LOC100577527
LOC100577530	uncharacterized LOC100577530
LOC100577532	uncharacterized LOC100577532
LOC100577533	uncharacterized LOC100577533
LOC100577535	N-acetyl-gamma-glutamyl-phosphate reductase 2-like
LOC100577536	uncharacterized LOC100577536
LOC100577537	uncharacterized LOC100577537
LOC100577538	uncharacterized LOC100577538
LOC100577539	uncharacterized LOC100577539
LOC100577541	uncharacterized LOC100577541
LOC100577542	uncharacterized LOC100577542
LOC100577543	fez family zinc finger protein 1-like
LOC100577544	uncharacterized LOC100577544
LOC100577546	C1GALT1-specific chaperone 1-like protein
LOC100577548	tubulin beta chain-like
LOC100577551	eukaryotic translation initiation factor 5B-like
LOC100577552	trithorax group protein osa
LOC100577553	protein ARV1
LOC100577556	uncharacterized LOC100577556
LOC100577558	uncharacterized LOC100577558
LOC100577559	uncharacterized LOC100577559
LOC100577561	uncharacterized LOC100577561
LOC100577562	probable LIM domain-containing serine/threonine-protein kinase DDB_G0286997
LOC100577565	uncharacterized LOC100577565
LOC100577566	cytadherence high molecular weight protein 2-like
LOC100577567	protein unc-93 homolog A-like
LOC100577569	uncharacterized LOC100577569
LOC100577571	uncharacterized LOC100577571
LOC100577573	uncharacterized LOC100577573
LOC100577574	leucine-rich repeat-containing protein 4C-like
LOC100577575	"28S ribosomal protein S15, mitochondrial"
LOC100577576	chondroitin proteoglycan-2-like
LOC100577577	peritrophin-1-like
LOC100577578	uncharacterized LOC100577578
LOC100577579	pleckstrin homology domain-containing family J member 1-like
LOC100577580	ADP-ribosylation factor-like protein 13B
LOC100577582	putative mannose 6-phosphate receptor-like protein C530.09c
LOC100577584	putative uncharacterized protein DDB_G0282133
LOC100577585	uncharacterized LOC100577585
LOC100577586	uncharacterized LOC100577586
LOC100577587	cytospin-A-like
LOC100577590	odorant receptor 20
LOC100577592	uncharacterized LOC100577592
LOC100577593	"metalloendopeptidase OMA1, mitochondrial-like"
LOC100577594	uncharacterized LOC100577594
LOC100577595	E3 ubiquitin-protein ligase listerin-like
LOC100577596	uncharacterized LOC100577596
LOC100577598	uncharacterized protein DDB_G0284459-like
LOC100577600	uncharacterized LOC100577600
LOC100577602	uncharacterized LOC100577602
LOC100577603	uncharacterized LOC100577603
LOC100577605	uncharacterized LOC100577605
LOC100577606	uncharacterized LOC100577606
LOC100577607	dehydrogenase/reductase SDR family member 4-like
